2026-04-09 19:11:13.456519,ACTIVE,0.18,0.29
2026-04-09 19:11:13.629075,ACTIVE,0.23,0.29
2026-04-09 19:11:15.472742,ACTIVE,0.23,0.32
2026-04-09 19:11:15.649330,ACTIVE,0.36,0.3
2026-04-09 19:11:20.549943,ACTIVE,0.25,0.34
2026-04-09 19:11:20.697694,ACTIVE,0.25,0.32
2026-04-09 19:11:20.859892,ACTIVE,0.11,0.3
2026-04-09 19:11:21.024162,ACTIVE,0.15,0.31
2026-04-09 19:11:21.172253,ACTIVE,0.2,0.31
2026-04-09 19:11:21.331755,ACTIVE,0.22,0.32
2026-04-09 19:11:21.500929,ACTIVE,0.22,0.31
2026-04-09 19:11:21.663754,ACTIVE,0.22,0.31
2026-04-09 19:11:21.818436,ACTIVE,0.22,0.31
2026-04-09 19:11:22.025828,ACTIVE,0.23,0.32
2026-04-09 19:11:22.176914,ACTIVE,0.23,0.31
2026-04-09 19:11:22.330240,ACTIVE,0.22,0.31
2026-04-09 19:11:22.500123,ACTIVE,0.21,0.32
2026-04-09 19:11:22.659979,ACTIVE,0.23,0.31
2026-04-09 19:11:22.811533,ACTIVE,0.22,0.31
2026-04-09 19:11:22.961934,ACTIVE,0.23,0.3
2026-04-09 19:11:23.115585,ACTIVE,0.23,0.3
2026-04-09 19:11:23.320516,ACTIVE,0.23,0.31
2026-04-09 19:11:23.553177,ACTIVE,0.23,0.31
2026-04-09 19:11:23.718955,ACTIVE,0.23,0.31
2026-04-09 19:11:23.871262,ACTIVE,0.24,0.3
2026-04-09 19:11:24.021526,ACTIVE,0.22,0.29
2026-04-09 19:11:24.177174,ACTIVE,0.24,0.29
2026-04-09 19:11:24.326867,ACTIVE,0.22,0.28
2026-04-09 19:11:24.493352,ACTIVE,0.23,0.29
2026-04-09 19:11:24.674784,ACTIVE,0.24,0.29
2026-04-09 19:11:24.825423,ACTIVE,0.25,0.3
2026-04-09 19:11:24.982659,ACTIVE,0.23,0.3
2026-04-09 19:11:25.140063,ACTIVE,0.23,0.3
2026-04-09 19:11:25.294558,ACTIVE,0.23,0.3
2026-04-09 19:11:25.452092,ACTIVE,0.25,0.31
2026-04-09 19:11:25.763477,ACTIVE,0.09,0.3
2026-04-09 19:11:25.931981,ACTIVE,0.16,0.28
2026-04-09 19:11:26.100158,ACTIVE,0.21,0.3
2026-04-09 19:11:26.257011,ACTIVE,0.21,0.31
2026-04-09 19:11:26.415437,ACTIVE,0.23,0.3
2026-04-09 19:11:26.574060,ACTIVE,0.21,0.3
2026-04-09 19:11:26.767609,ACTIVE,0.23,0.3
2026-04-09 19:11:26.930374,ACTIVE,0.23,0.31
2026-04-09 19:11:27.080959,ACTIVE,0.22,0.31
2026-04-09 19:11:27.240313,ACTIVE,0.1,0.3
2026-04-09 19:11:27.398012,ACTIVE,0.08,0.3
2026-04-09 19:11:27.546612,ACTIVE,0.09,0.3
2026-04-09 19:11:27.730528,ACTIVE,0.1,0.31
2026-04-09 19:11:27.896547,ACTIVE,0.1,0.31
2026-04-09 19:11:28.053119,ACTIVE,0.1,0.31
2026-04-09 19:11:28.205281,ACTIVE,0.11,0.31
2026-04-09 19:11:28.358236,ACTIVE,0.1,0.31
2026-04-09 19:11:28.516048,ACTIVE,0.09,0.31
2026-04-09 19:11:28.672347,ACTIVE,0.1,0.3
2026-04-09 19:11:28.833155,ACTIVE,0.09,0.3
2026-04-09 19:11:28.996060,ACTIVE,0.09,0.3
2026-04-09 19:11:29.158043,ACTIVE,0.12,0.3
2026-04-09 19:11:29.308512,ACTIVE,0.13,0.31
2026-04-09 19:11:29.468423,ACTIVE,0.16,0.31
2026-04-09 19:11:29.986698,DROWSY,0.14,0.31
2026-04-09 19:11:30.486617,DROWSY,0.12,0.3
2026-04-09 19:11:31.001979,DROWSY,0.12,0.32
2026-04-09 19:11:31.579918,DROWSY,0.2,0.31
2026-04-09 19:11:32.214877,DROWSY,0.19,0.33
2026-04-09 19:11:32.839608,DROWSY,0.12,0.32
2026-04-09 19:11:33.418620,DROWSY,0.1,0.31
2026-04-09 19:11:34.009825,DROWSY,0.09,0.32
2026-04-09 19:11:34.624311,DROWSY,0.1,0.32
2026-04-09 19:11:35.137425,DROWSY,0.09,0.31
2026-04-09 19:11:35.655217,DROWSY,0.1,0.31
2026-04-09 19:12:17.081357,ACTIVE,0.28,0.47
2026-04-09 19:12:20.068809,ACTIVE,0.29,0.44
2026-04-09 19:12:20.243078,ACTIVE,0.3,0.45
2026-04-09 19:12:20.400206,ACTIVE,0.3,0.42
2026-04-09 19:12:20.556574,ACTIVE,0.34,0.42
2026-04-09 19:12:20.728742,ACTIVE,0.35,0.41
2026-04-09 19:12:20.879812,ACTIVE,0.34,0.38
2026-04-09 19:12:22.324232,ACTIVE,0.25,0.49
2026-04-09 19:12:23.856895,ACTIVE,0.23,0.5
2026-04-09 19:12:24.326303,ACTIVE,0.32,0.44
2026-04-09 19:12:24.646979,ACTIVE,0.35,0.35
2026-04-09 19:12:24.821768,ACTIVE,0.35,0.33
2026-04-09 19:12:25.012477,ACTIVE,0.38,0.36
2026-04-09 19:12:35.705563,ACTIVE,0.32,0.37
2026-04-09 19:12:37.889783,ACTIVE,0.26,0.41
2026-04-09 19:12:38.047116,ACTIVE,0.27,0.43
2026-04-09 19:12:38.202075,ACTIVE,0.24,0.4
2026-04-09 19:12:38.356651,ACTIVE,0.27,0.41
2026-04-09 19:12:38.511811,ACTIVE,0.27,0.38
2026-04-09 19:12:38.671108,ACTIVE,0.28,0.39
2026-04-09 19:12:39.149639,ACTIVE,0.25,0.41
2026-04-09 19:12:39.305271,ACTIVE,0.28,0.39
2026-04-09 19:12:39.992608,ACTIVE,0.28,0.39
2026-04-09 19:12:40.145220,ACTIVE,0.26,0.39
2026-04-09 19:12:40.770987,ACTIVE,0.28,0.36
2026-04-09 19:12:40.925213,ACTIVE,0.3,0.41
2026-04-09 19:12:41.085993,ACTIVE,0.31,0.34
2026-04-09 19:12:41.238629,ACTIVE,0.32,0.33
2026-04-09 19:12:41.401499,ACTIVE,0.27,0.41
2026-04-09 19:12:41.558943,ACTIVE,0.29,0.4
2026-04-09 19:12:41.720633,ACTIVE,0.27,0.38
2026-04-09 19:12:41.873687,ACTIVE,0.29,0.41
